id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
193483902	80512	2016-05-22 10:40:00	Наезд на велосипедиста	2	2	1	0	г Волгоград	ул Шекснинская	66				Нерегулируемый перекрёсток неравнозначных улиц (дорог)	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах	Велосипедист: Другие нарушения ПДД водителем
194550802	80512	2016-05-22 09:15:00	Падение пассажира	2	1	1	0	г Волгоград	ул Невская	0				Регулируемый перекресток		Водитель: Другие нарушения ПДД водителем
194442501	80512	2016-05-21 16:00:00	Наезд на препятствие	2	1	1	0	г Волгоград	ул им Джамбула Джабаева	51				Нерегулируемый перекрёсток неравнозначных улиц (дорог)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
193508385	80512	2016-05-21 19:40:00	Наезд на стоящее ТС	2	2	2	0	г Волгоград	ул им генерала Штеменко	23				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
193417414	80512	2016-05-21 17:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	пр-кт им В.И.Ленина	207				Регулируемый пешеходный переход; Регулируемый перекресток		Водитель: Нарушение правил проезда пешеходного перехода
193484072	80512	2016-05-21 23:10:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул им маршала Жукова	88				Перегон (нет объектов на месте ДТП)		Пешеход: Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка)
193403420	80512	2016-05-21 01:20:00	Столкновение	2	2	1	0	г Волгоград	ул им Рокоссовского	145				Регулируемый перекресток	Дефекты покрытия; Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах; Отсутствие пешеходных ограждений в необходимых местах	Водитель: Другие нарушения ПДД водителем
193750875	80512	2016-05-20 22:10:00	Наезд на велосипедиста	2	2	1	0	г Волгоград	ул им Неждановой	2А				Регулируемый перекресток	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
194505319	80512	2016-05-20 21:00:00	Столкновение	3	2	1	0	г Волгоград	ул им Иванова	21				Нерегулируемый перекрёсток неравнозначных улиц (дорог)		Водитель: Несоблюдение очередности проезда
193403444	80512	2016-05-20 13:00:00	Столкновение	4	2	2	0	г Волгоград	ул им Калинина	13				Перегон (нет объектов на месте ДТП)		Водитель: Другие нарушения ПДД водителем
